Enrollment_ids,Course_name,enrollment_year,Final_grade,Hours_studied,Completion_status
ENR-8926,Tableau Fundamentals,2023,B,25.23,Completed
ENR-3909,Tableau Fundamentals,2023,C,23.3,Dropped
ENR-3519,Tableau Fundamentals,2025,B,34.91,In Progress
ENR-9788,Intro to Analytics,2024,F,29.73,Completed
ENR-8282,Python for Beginners,2026,B,34.9,Completed
ENR-7202,Tableau Fundamentals,2024,D,26.93,In Progress
ENR-8557,Python for Beginners,2023,F,21.8,In Progress
ENR-1723,Statistics 101,2022,C,37.18,Completed
ENR-1166,Tableau Fundamentals,2025,C,27.77,Completed
ENR-3207,Python for Beginners,2023,F,29.04,Dropped
ENR-8476,SQL Basics,2025,D,38.53,Dropped
ENR-4165,Tableau Fundamentals,2022,A,36.31,Completed
ENR-1344,Statistics 101,2022,D,30.04,Completed
ENR-5200,Tableau Fundamentals,2023,D,30.44,In Progress
ENR-6767,Python for Beginners,2026,C,39.05,Completed
ENR-5455,Intro to Analytics,2025,B,25.93,Completed
ENR-8115,Intro to Analytics,2024,B,36.01,In Progress
